s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.5734543E-001, 0.0000000E+000, 4.5057615E-002, 1.5809717E-001, 5.3779468E-002, 0.0000000E+000, 0.0000000E+000,-2.8201231E+000,-2.5873262E+000,-2.5631889E+000, 0.0000000E+000, 3.4934074E-003
 3.5784051E-001, 0.0000000E+000, 4.4967850E-002, 1.5858874E-001, 5.2082405E-002, 0.0000000E+000, 0.0000000E+000,-2.8233152E+000,-2.5895284E+000,-2.5676762E+000, 0.0000000E+000, 3.5386251E-003
 3.5833555E-001, 0.0000000E+000, 4.4942808E-002, 1.5887110E-001, 5.2782190E-002, 0.0000000E+000, 0.0000000E+000,-2.8272565E+000,-2.5932587E+000,-2.5706604E+000, 0.0000000E+000, 3.5721763E-003
 3.5883063E-001, 0.0000000E+000, 4.5407737E-002, 1.5945750E-001, 5.1637343E-002, 0.0000000E+000, 0.0000000E+000,-2.8277733E+000,-2.5953376E+000,-2.5712708E+000, 0.0000000E+000, 3.5431850E-003
 3.5932571E-001, 0.0000000E+000, 4.5240252E-002, 1.5996130E-001, 5.0310446E-002, 0.0000000E+000, 0.0000000E+000,-2.8326534E+000,-2.5966301E+000,-2.5771414E+000, 0.0000000E+000, 3.6195563E-003
 3.5982075E-001, 0.0000000E+000, 4.5711796E-002, 1.6025812E-001, 5.2116831E-002, 0.0000000E+000, 0.0000000E+000,-2.8366114E+000,-2.6008983E+000,-2.5785246E+000, 0.0000000E+000, 3.6503096E-003
 3.6031583E-001, 0.0000000E+000, 4.5160088E-002, 1.6112420E-001, 5.4302659E-002, 0.0000000E+000, 0.0000000E+000,-2.8393187E+000,-2.6047369E+000,-2.5787318E+000, 0.0000000E+000, 3.6414884E-003
 3.6081088E-001, 0.0000000E+000, 4.6092720E-002, 1.6170417E-001, 5.1688365E-002, 0.0000000E+000, 0.0000000E+000,-2.8446609E+000,-2.6054378E+000,-2.5851756E+000, 0.0000000E+000, 3.6336264E-003
 3.6130595E-001, 0.0000000E+000, 4.5753076E-002, 1.6202868E-001, 5.1804558E-002, 0.0000000E+000, 0.0000000E+000,-2.8485108E+000,-2.6092854E+000,-2.5889245E+000, 0.0000000E+000, 3.6192480E-003
 3.6180103E-001, 0.0000000E+000, 4.5465861E-002, 1.6279232E-001, 5.4273863E-002, 0.0000000E+000, 0.0000000E+000,-2.8525514E+000,-2.6147558E+000,-2.5900193E+000, 0.0000000E+000, 3.6914184E-003
 3.6229607E-001, 0.0000000E+000, 4.6148655E-002, 1.6328484E-001, 5.2601041E-002, 0.0000000E+000, 0.0000000E+000,-2.8590110E+000,-2.6172198E+000,-2.5969764E+000, 0.0000000E+000, 3.6781293E-003
 3.6279115E-001, 0.0000000E+000, 4.5893892E-002, 1.6404964E-001, 4.9275551E-002, 0.0000000E+000, 0.0000000E+000,-2.8607405E+000,-2.6234061E+000,-2.6015214E+000, 0.0000000E+000, 3.7074087E-003
 3.6328623E-001, 0.0000000E+000, 4.5853425E-002, 1.6492558E-001, 5.3025096E-002, 0.0000000E+000, 0.0000000E+000,-2.8647794E+000,-2.6240247E+000,-2.6009753E+000, 0.0000000E+000, 3.6816614E-003
